1,Mr,Lamb,7MA,Maths,700000,Ryan,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
2,Mr,Christian,7SC,Science,700000,Ryan,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
3,Mr,Chang,7HA,HASS,700000,Ryan,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
4,Mrs,Curry,7EN,English,700000,Ryan,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
5,Mr,Townsend,7PE,Physical Education,700000,Ryan,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
6,Mrs,Chen,7AR,Art,700000,Ryan,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
1,Mr,Lamb,7MA,Maths,700001,Kristle,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
2,Mr,Christian,7SC,Science,700001,Kristle,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
3,Mr,Chang,7HA,HASS,700001,Kristle,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
4,Mrs,Curry,7EN,English,700001,Kristle,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
5,Mr,Townsend,7PE,Physical Education,700001,Kristle,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
6,Mrs,Chen,7AR,Art,700001,Kristle,Walter,7,100,Rickie,Walter,diagnose1825@outlook.com
7,Mrs,Patel,8MA,Maths,800002,Bao,Walter,8,100,Rickie,Walter,diagnose1825@outlook.com
8,Dr,May,8SC,Science,800002,Bao,Walter,8,100,Rickie,Walter,diagnose1825@outlook.com
9,Dr,Aguirre,8HA,HASS,800002,Bao,Walter,8,100,Rickie,Walter,diagnose1825@outlook.com
10,Mr,Pearson,8EN,English,800002,Bao,Walter,8,100,Rickie,Walter,diagnose1825@outlook.com
11,Mr,Boyer,8PE,Physical Education,800002,Bao,Walter,8,100,Rickie,Walter,diagnose1825@outlook.com
12,Mrs,Calderon,8AR,Art,800002,Bao,Walter,8,100,Rickie,Walter,diagnose1825@outlook.com
7,Mrs,Patel,8MA,Maths,800100,Erin,Nunez,8,200,Lachelle,Nunez,plasmoid1995@yahoo.com
8,Dr,May,8SC,Science,800100,Erin,Nunez,8,200,Lachelle,Nunez,plasmoid1995@yahoo.com
9,Dr,Aguirre,8HA,HASS,800100,Erin,Nunez,8,200,Lachelle,Nunez,plasmoid1995@yahoo.com
10,Mr,Pearson,8EN,English,800100,Erin,Nunez,8,200,Lachelle,Nunez,plasmoid1995@yahoo.com
11,Mr,Boyer,8PE,Physical Education,800100,Erin,Nunez,8,200,Lachelle,Nunez,plasmoid1995@yahoo.com
